location,pethouseholds,dog,cat
Alabama,1088,1410,1252
Arizona,1497,1798,1438
Arkansas,716,1097,810
California,6865,6687,7118
Colorado,1217,1349,1191
Connecticut,728,507,796
Delaware,189,163,187
District of Columbia,63,42,63
Florida,4138,4210,4375
Georgia,2093,2479,2162
Idaho,352,357,393
Illinois,2602,2365,2453
Indiana,1484,1619,1912
Iowa,654,610,805
Kansas,691,774,731
Kentucky,1094,1531,1349
Louisiana,937,1115,877
Maine,345,300,498
Maryland,1134,915,1677
Massachusetts,1318,850,1593
Michigan,2108,2036,2420
Minnesota,1146,934,1264
Mississippi,629,846,668
Missouri,1534,1978,1653
Montana,251,282,277
Nebraska,364,374,514
Nevada,548,578,625
New Hampshire,289,212,309
New Jersey,1611,1340,1468
New Mexico,523,703,533
New York,3802,3054,4261
North Carolina,2089,2518,2220
North Dakota,147,139,174
Ohio,2677,2730,3786
Oklahoma,872,1327,1041
Oregon,957,917,1185
Pennsylvania,2942,2485,3544
Rhode Island,230,161,212
South Carolina,951,1191,1039
South Dakota,219,220,290
Tennessee,1540,2157,1749
Texas,5265,7163,5565
Utah,476,410,455
Vermont,188,142,234
Virginia,1611,1699,1855
Washington,1649,1609,1844
West Virginia,475,648,628
Wisconsin,1352,1138,1510
Wyoming,137,125,144
